Dates,PX_BID,LAST_PRICE,CHG_PCT_1D
03-01-2011,44.71,44.715,0.0224
04-01-2011,44.98,44.985,0.6038
05-01-2011,45.32,45.33,0.7669
06-01-2011,45.245,45.2525,-0.171
07-01-2011,45.38,45.385,0.2928
10-01-2011,45.44,45.4456,0.1335
11-01-2011,45.16,45.165,-0.6174
12-01-2011,45.13,45.135,-0.0664
13-01-2011,45.235,45.2406,0.234
14-01-2011,45.36,45.365,0.275
17-01-2011,45.515,45.5188,0.339
18-01-2011,45.42,45.4275,-0.2006
19-01-2011,45.455,45.46,0.0715
20-01-2011,45.53,45.535,0.165
21-01-2011,45.615,45.62,0.1867
24-01-2011,45.675,45.6788,0.1289
25-01-2011,45.7,45.7063,0.0602
27-01-2011,45.56,45.565,-0.3091
28-01-2011,45.75,45.7563,0.4198
31-01-2011,45.9,45.905,0.325
01-02-2011,45.7625,45.7663,-0.3021
02-02-2011,45.6225,45.6275,-0.3033
03-02-2011,45.61,45.615,-0.0274
04-02-2011,45.595,45.6,-0.0329
07-02-2011,45.482,45.4864,-0.2491
08-02-2011,45.3,45.305,-0.3988
09-02-2011,45.48,45.485,0.3973
10-02-2011,45.7275,45.7325,0.5441
11-02-2011,45.68,45.685,-0.1039
14-02-2011,45.5,45.505,-0.394
15-02-2011,45.51,45.515,0.022
17-02-2011,45.34,45.3475,-0.368
18-02-2011,45.205,45.21,-0.3032
21-02-2011,44.985,44.9925,-0.4811
22-02-2011,45.26,45.265,0.6057
23-02-2011,45.13,45.1338,-0.2898
24-02-2011,45.47,45.475,0.756
25-02-2011,45.32,45.325,-0.3299
28-02-2011,45.2655,45.2708,-0.1196
01-03-2011,44.95,44.9575,-0.6921
03-03-2011,45.04,45.045,0.1946
04-03-2011,44.98,44.9875,-0.1277
07-03-2011,45.0475,45.0525,0.1445
08-03-2011,45.0825,45.0875,0.0777
09-03-2011,45,45.005,-0.183
10-03-2011,45.18,45.185,0.4
11-03-2011,45.235,45.2425,0.1273
14-03-2011,45.06,45.0663,-0.3895
15-03-2011,45.24,45.2456,0.3979
16-03-2011,45.1125,45.1175,-0.2831
17-03-2011,45.18,45.185,0.1496
18-03-2011,45.1213,45.1256,-0.1315
21-03-2011,45.0075,45.0138,-0.2478
22-03-2011,44.9575,44.9638,-0.1111
23-03-2011,44.845,44.8525,-0.2475
24-03-2011,44.7525,44.7563,-0.2145
25-03-2011,44.67,44.675,-0.1817
28-03-2011,44.8325,44.8375,0.3637
29-03-2011,44.78,44.7825,-0.1227
30-03-2011,44.75,44.755,-0.0614
31-03-2011,44.58,44.585,-0.3798
05-04-2011,44.4125,44.4163,-0.3784
06-04-2011,44.165,44.17,-0.5545
07-04-2011,44.2,44.205,0.0792
08-04-2011,44.07,44.0769,-0.2898
11-04-2011,44.39,44.395,0.7217
13-04-2011,44.5,44.505,0.2478
15-04-2011,44.33,44.335,-0.382
18-04-2011,44.45,44.4575,0.2763
19-04-2011,44.48,44.485,0.0619
20-04-2011,44.3225,44.3275,-0.3541
21-04-2011,44.36,44.3675,0.0902
25-04-2011,44.485,44.49,0.2761
26-04-2011,44.515,44.52,0.0674
27-04-2011,44.43,44.435,-0.1909
28-04-2011,44.431,44.4343,-0.0016
29-04-2011,44.215,44.2194,-0.4836
02-05-2011,44.33,44.335,0.2614
03-05-2011,44.51,44.515,0.406
04-05-2011,44.46,44.4675,-0.1067
05-05-2011,44.76,44.7625,0.6634
06-05-2011,44.79,44.795,0.0726
09-05-2011,44.71,44.715,-0.1786
10-05-2011,44.7525,44.7575,0.095
11-05-2011,44.69,44.695,-0.1396
12-05-2011,44.995,45,0.6824
13-05-2011,44.86,44.865,-0.3
16-05-2011,45.155,45.1588,0.6549
18-05-2011,45.05,45.0575,-0.2243
19-05-2011,44.97,44.9763,-0.1802
20-05-2011,45.01,45.0163,0.0889
23-05-2011,45.23,45.235,0.4858
24-05-2011,45.2025,45.2088,-0.0579
25-05-2011,45.3275,45.3325,0.2736
26-05-2011,45.3038,45.3081,-0.0538
27-05-2011,45.1625,45.1675,-0.3103
30-05-2011,45.076,45.0795,-0.1948
31-05-2011,45.0575,45.06,-0.0433
01-06-2011,44.84,44.8431,-0.4814
02-06-2011,44.8238,44.8294,-0.0306
03-06-2011,44.815,44.8188,-0.0236
06-06-2011,44.755,44.7625,-0.1256
07-06-2011,44.67,44.6763,-0.1926
08-06-2011,44.6975,44.7025,0.0586
09-06-2011,44.73,44.735,0.0727
10-06-2011,44.716,44.7214,-0.0304
13-06-2011,44.8525,44.8588,0.3072
14-06-2011,44.7375,44.7412,-0.2622
15-06-2011,44.77,44.7725,0.07
16-06-2011,44.9025,44.9075,0.3015
17-06-2011,44.8625,44.8662,-0.092
20-06-2011,45.0025,45.0063,0.3123
21-06-2011,44.84,44.845,-0.3584
22-06-2011,44.89,44.895,0.1115
23-06-2011,44.95,44.955,0.1336
24-06-2011,44.99,44.995,0.089
27-06-2011,45.03,45.035,0.0889
28-06-2011,45.035,45.04,0.0111
29-06-2011,44.86,44.8663,-0.3857
30-06-2011,44.6913,44.6981,-0.3749
01-07-2011,44.58,44.5825,-0.2586
04-07-2011,44.42,44.425,-0.3533
05-07-2011,44.435,44.4375,0.0281
06-07-2011,44.4825,44.4898,0.1177
07-07-2011,44.415,44.4225,-0.1513
08-07-2011,44.325,44.3275,-0.2139
11-07-2011,44.48,44.485,0.3553
12-07-2011,44.705,44.7113,0.5087
13-07-2011,44.52,44.525,-0.4167
